Epoch: 0, train_loss: 0.0015857627008347103, val_loss: 0.9225841673523187, train_time: 28990.455617904663, val_time: 540.2340924739838
Epoch: 1, train_loss: 0.00043787461643902893, val_loss: 0.4992398171566427, train_time: 28877.172375440598, val_time: 519.1395740509033
Epoch: 2, train_loss: 0.0003827113187237821, val_loss: 0.3190395594343543, train_time: 28850.38106060028, val_time: 535.1777591705322
Epoch: 3, train_loss: 0.0003232345285745554, val_loss: 6.41070660431087, train_time: 29039.144777536392, val_time: 514.1437573432922
Epoch: 4, train_loss: 0.00037663710514813833, val_loss: 10.097108397036791, train_time: 28689.274811029434, val_time: 516.9177756309509
Epoch: 5, train_loss: 0.00018328882685349766, val_loss: 12.329038260999322, train_time: 28773.619339942932, val_time: 549.2383379936218
Epoch: 6, train_loss: 0.00017218352620381803, val_loss: 14.40175828667283, train_time: 28989.55981040001, val_time: 539.1160500049591
Epoch: 7, train_loss: 0.00016347289906824247, val_loss: 5.70984726281166, train_time: 28754.154567480087, val_time: 535.4695873260498
Epoch: 8, train_loss: 0.00015794983107452674, val_loss: 11.944275275534391, train_time: 28660.61696743965, val_time: 520.0242505073547
Epoch: 9, train_loss: 0.00018447012027195489, val_loss: 14.895267593038081, train_time: 28958.670917510986, val_time: 530.170520067215
Epoch: 10, train_loss: 0.00018625897054010506, val_loss: 17.281232749301196, train_time: 29089.880905866623, val_time: 545.6833629608154
Epoch: 11, train_loss: 0.00016196074783003265, val_loss: 15.164902521371841, train_time: 29139.786698818207, val_time: 555.1449830532074
Epoch: 12, train_loss: 0.00019326408796302688, val_loss: 11.95615938192606, train_time: 29168.99746322632, val_time: 530.2095696926117
Epoch: 13, train_loss: 0.0002143136208143124, val_loss: 18.618594899129867, train_time: 29076.291213989258, val_time: 536.8999254703522
Epoch: 14, train_loss: 0.0001797413213334301, val_loss: 3.0539587095797063, train_time: 29013.24111866951, val_time: 555.3453719615936
Epoch: 15, train_loss: 0.00018977739202909587, val_loss: 7.573106869089603, train_time: 28818.082214593887, val_time: 551.3652265071869
Epoch: 16, train_loss: 0.00018494311250105035, val_loss: 10.620477958071232, train_time: 28719.81255722046, val_time: 536.7440211772919
Epoch: 17, train_loss: 0.0001898591692631527, val_loss: 7.4025700227916245, train_time: 29069.221806049347, val_time: 542.7212891578674
Epoch: 18, train_loss: 0.0002054459071044578, val_loss: 10.05828758994341, train_time: 29046.922687768936, val_time: 550.5576021671295
Epoch: 19, train_loss: 0.00021138306026208755, val_loss: 4.295014481374621, train_time: 28589.796020269394, val_time: 531.4422976970673
