Epoch: 0, train_loss: 0.0052513280882264205, val_loss: 0.1775167853120757, train_time: 15698.780850887299, val_time: 1253.3839929103851
Epoch: 1, train_loss: 0.0027481212500760476, val_loss: 0.0605209744901154, train_time: 15790.184155464172, val_time: 1245.9042873382568
Epoch: 2, train_loss: 0.0019601350514355225, val_loss: 0.04331545666023864, train_time: 15787.691397190094, val_time: 1268.8622043132782
Epoch: 3, train_loss: 0.0014823264988871542, val_loss: 0.09434099485193269, train_time: 15745.686812877655, val_time: 1237.7712666988373
Epoch: 4, train_loss: 0.0011841081486600096, val_loss: 0.04018807655604027, train_time: 15759.953455924988, val_time: 1249.477532863617
Epoch: 5, train_loss: 0.0009914911460978699, val_loss: 0.14009254932837253, train_time: 15791.486387491226, val_time: 1250.6881864070892
Epoch: 6, train_loss: 0.0008366373727695743, val_loss: 0.13755271881884568, train_time: 15817.987365484238, val_time: 1235.1890470981598
Epoch: 7, train_loss: 0.000669638893653742, val_loss: 0.07377797083394647, train_time: 15838.559342861176, val_time: 1249.3949890136719
Epoch: 8, train_loss: 0.0006624678410717018, val_loss: 0.11835511486863456, train_time: 16025.609647035599, val_time: 1272.9368798732758
Epoch: 9, train_loss: 0.0006449835035151527, val_loss: 0.08504525372337722, train_time: 16259.486061811447, val_time: 1241.2764313220978
Epoch: 10, train_loss: 0.0006424028096076097, val_loss: 0.05139620064545377, train_time: 16102.394235610962, val_time: 1256.1816651821136
Epoch: 11, train_loss: 0.0006375847857711951, val_loss: 0.15725839187016294, train_time: 15971.820919275284, val_time: 1274.2735178470612
Epoch: 12, train_loss: 0.0006250365316861319, val_loss: 0.033785956943972906, train_time: 15932.4687936306, val_time: 1238.7359092235565
Epoch: 13, train_loss: 0.0006152141488766509, val_loss: 0.0677090202909174, train_time: 16333.674201250076, val_time: 1305.4242453575134
Epoch: 14, train_loss: 0.0006249541937718322, val_loss: 0.06873021581970824, train_time: 15699.770648002625, val_time: 1354.4812965393066
Epoch: 15, train_loss: 0.0006275796795135542, val_loss: 0.13387171549462387, train_time: 15716.9522356987, val_time: 1271.2226722240448
Epoch: 16, train_loss: 0.0005863039477259137, val_loss: 0.0776865932336935, train_time: 15773.770454645157, val_time: 1218.8273386955261
Epoch: 17, train_loss: 0.0006069746571235258, val_loss: 0.03688772958426972, train_time: 15783.050005435944, val_time: 1252.8677597045898
Epoch: 18, train_loss: 0.0005948258829294858, val_loss: 0.07131269463433079, train_time: 15701.124356985092, val_time: 1316.2613770961761
Epoch: 19, train_loss: 0.0005733334752197857, val_loss: 0.05125118762820132, train_time: 15690.382865190506, val_time: 1311.669480085373
