image,k
000000449385.jpg,0.5626364946365356
000000202435.jpg,1.1180071830749512
000000023211.jpg,1.0350037813186646
000000222999.jpg,1.214269757270813
000000047883.jpg,0.9293064475059509
000000171865.jpg,1.1672879457473755
000000126036.jpg,0.2540445625782013
000000140723.jpg,0.7406718134880066
000000132909.jpg,1.0542776584625244
000000482397.jpg,1.189704179763794
000000353873.jpg,0.33525004982948303
000000119288.jpg,1.0232759714126587
000000147514.jpg,0.664618194103241
000000016572.jpg,0.7619849443435669
000000410820.jpg,1.2381112575531006
000000028997.jpg,0.7628383636474609
000000290302.jpg,0.8642394542694092
000000207495.jpg,0.7266954183578491
000000168871.jpg,0.7516756057739258
000000465919.jpg,0.2743888795375824
000000255848.jpg,0.6059796810150146
000000451685.jpg,0.8249655961990356
000000041886.jpg,1.1789716482162476
000000335549.jpg,0.791466236114502
000000334528.jpg,0.9623768925666809
000000075553.jpg,1.1033892631530762
000000469984.jpg,0.12061009556055069
000000390299.jpg,0.851071834564209
000000526002.jpg,1.2082585096359253
000000301835.jpg,0.31486600637435913
000000368895.jpg,1.14389169216156
000000227888.jpg,1.1618708372116089
000000223425.jpg,0.39785832166671753
000000400209.jpg,1.1187723875045776
000000023845.jpg,0.6093294024467468
000000215792.jpg,0.6588242650032043
000000431156.jpg,0.5238616466522217
000000262158.jpg,1.2461696863174438
000000182590.jpg,0.7353916168212891
000000236322.jpg,0.47730833292007446
000000388116.jpg,1.1579471826553345
000000385368.jpg,1.1947308778762817
000000035387.jpg,0.3469505310058594
000000133547.jpg,1.1841241121292114
000000020717.jpg,1.0815131664276123
000000403247.jpg,0.6390650868415833
000000232559.jpg,0.5383205413818359
000000083981.jpg,0.5888572335243225
000000037580.jpg,0.7663519382476807
000000435502.jpg,1.0181759595870972
000000579936.jpg,0.5196744203567505
000000067687.jpg,1.2106068134307861
000000083590.jpg,0.8279391527175903
000000429912.jpg,1.0706796646118164
000000076838.jpg,0.7079901695251465
000000008413.jpg,0.8254945278167725
000000580771.jpg,0.1986306607723236
000000299912.jpg,1.200162410736084
000000300788.jpg,0.9178053140640259
000000222615.jpg,0.8717941045761108
000000295934.jpg,1.1953269243240356
000000298719.jpg,1.0426832437515259
000000354301.jpg,1.0578925609588623
000000144516.jpg,0.13728854060173035
000000332344.jpg,1.3259810209274292
000000007470.jpg,0.7658320069313049
000000390648.jpg,1.0326652526855469
000000569650.jpg,0.5005017518997192
000000384969.jpg,0.3861839771270752
000000170258.jpg,1.1542903184890747
000000553475.jpg,1.1858118772506714
000000188807.jpg,0.1578298956155777
000000154054.jpg,0.5917826890945435
000000493217.jpg,1.1047706604003906
000000211658.jpg,0.3656962811946869
000000335335.jpg,0.5865580439567566
000000130119.jpg,0.37720444798469543
000000108354.jpg,0.6210256814956665
000000488813.jpg,1.007269024848938
000000247471.jpg,0.17107133567333221
000000138471.jpg,0.8445674180984497
000000322776.jpg,1.2059532403945923
000000113125.jpg,0.14611181616783142
000000326492.jpg,1.0910907983779907
000000096201.jpg,0.690424919128418
000000579046.jpg,0.9948578476905823
000000545643.jpg,1.018402099609375
000000194304.jpg,0.1610921025276184
000000057935.jpg,0.25063464045524597
000000104007.jpg,0.8754301071166992
000000538355.jpg,1.2190054655075073
000000208187.jpg,1.2001025676727295
000000503519.jpg,0.4002715051174164
000000154277.jpg,1.2008436918258667
000000267741.jpg,1.0842350721359253
000000054665.jpg,1.0427508354187012
000000355358.jpg,1.1576682329177856
000000252834.jpg,0.44147446751594543
000000134504.jpg,1.2053236961364746
000000100314.jpg,1.1779565811157227
000000500357.jpg,1.0062928199768066
000000029815.jpg,1.0897585153579712
000000505306.jpg,1.1847606897354126
000000493718.jpg,0.3796643316745758
000000293112.jpg,0.5599731802940369
000000361530.jpg,0.21772319078445435
000000519761.jpg,0.7005330324172974
000000126560.jpg,0.8230444192886353
000000133801.jpg,0.1878480315208435
000000312925.jpg,1.1438626050949097
000000234656.jpg,0.3037540912628174
000000092238.jpg,0.9716876149177551
000000225051.jpg,0.5694902539253235
000000372371.jpg,0.983420729637146
000000346081.jpg,0.6865143775939941
000000438843.jpg,1.1920167207717896
000000438604.jpg,1.0226682424545288
000000099565.jpg,1.132009744644165
000000497062.jpg,1.040792465209961
000000009347.jpg,1.0611459016799927
000000230994.jpg,0.15186065435409546
000000416417.jpg,1.212656855583191
000000186905.jpg,1.0884824991226196
000000342084.jpg,0.8463630676269531
000000522733.jpg,0.7597783803939819
000000564261.jpg,0.3363754451274872
000000019323.jpg,1.1553395986557007
000000378076.jpg,1.1256109476089478
000000439046.jpg,1.2126319408416748
000000372907.jpg,0.8446992039680481
000000076425.jpg,0.8611862659454346
000000407222.jpg,0.24067971110343933
000000542107.jpg,1.2265539169311523
000000402907.jpg,1.1533101797103882
000000153645.jpg,1.0291634798049927
000000365296.jpg,0.9361468553543091
000000007236.jpg,0.5309099555015564
000000406548.jpg,1.148882269859314
000000271818.jpg,0.4590049982070923
000000036993.jpg,0.9684733152389526
000000224275.jpg,1.0362269878387451
000000017415.jpg,1.0622107982635498
000000328822.jpg,0.12393561005592346
000000408118.jpg,1.0274945497512817
000000303400.jpg,1.1408940553665161
000000419347.jpg,0.7075394988059998
000000423198.jpg,1.155825138092041
000000334425.jpg,0.5667696595191956
000000329781.jpg,0.23596525192260742
000000473034.jpg,0.7083404064178467
000000065313.jpg,0.3068870007991791
000000520912.jpg,0.12937477231025696
000000327602.jpg,1.0678913593292236
000000121301.jpg,0.9325835704803467
000000079916.jpg,0.8302426338195801
000000551432.jpg,1.0401813983917236
000000029352.jpg,1.1960376501083374
000000192923.jpg,1.131627082824707
000000495011.jpg,0.9517425298690796
000000121972.jpg,0.3530265986919403
000000085643.jpg,0.43358227610588074
000000461193.jpg,0.7011357545852661
000000291766.jpg,1.1143980026245117
000000274512.jpg,1.1281498670578003
000000176048.jpg,1.2215520143508911
000000508268.jpg,0.287120521068573
000000027209.jpg,0.523276686668396
000000481763.jpg,0.5383111238479614
000000313307.jpg,1.248464822769165
000000265548.jpg,1.058948278427124
000000049431.jpg,1.1170873641967773
000000541307.jpg,1.0907307863235474
000000076435.jpg,0.7808091640472412
000000173372.jpg,0.2557311952114105
000000525800.jpg,0.4789678454399109
000000354476.jpg,0.7753429412841797
000000579888.jpg,0.9985889196395874
000000405751.jpg,1.027728796005249
000000224870.jpg,0.3769763112068176
000000187820.jpg,0.8693062663078308
000000267928.jpg,0.9435169696807861
000000312911.jpg,0.4849357008934021
000000303724.jpg,0.7508417963981628
000000444807.jpg,1.149980902671814
000000466434.jpg,0.36985859274864197
000000065895.jpg,0.799777626991272
000000349482.jpg,0.19770145416259766
000000057766.jpg,0.13618266582489014
000000127487.jpg,1.129072904586792
000000209496.jpg,0.806799054145813
000000501586.jpg,1.0744011402130127
000000580193.jpg,0.9107540845870972
000000436650.jpg,0.8255714178085327
000000329225.jpg,1.1912683248519897
000000063239.jpg,1.1651057004928589
000000024226.jpg,0.47503089904785156
000000444850.jpg,1.1631220579147339
000000533622.jpg,0.7777981162071228
000000399381.jpg,1.0481926202774048
000000572501.jpg,0.7735275030136108
000000364480.jpg,0.37636417150497437
000000073479.jpg,0.7452753782272339
000000449058.jpg,1.1940014362335205
000000345650.jpg,1.1192535161972046
000000161753.jpg,1.2023524045944214
000000044155.jpg,0.12383778393268585
000000269765.jpg,1.0261403322219849
